step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
379,CASH_OUT,194125.96,0.0,0.0,1319860.96,1513986.92,0
159,CASH_OUT,235101.16,21135.0,0.0,650913.94,886015.1,0
595,CASH_OUT,270966.89,0.0,0.0,2767722.27,3038689.16,0
347,TRANSFER,1897864.32,0.0,0.0,4141964.38,6304571.74,0
277,CASH_OUT,77846.52,107417.0,29570.48,0.0,77846.52,0
322,CASH_OUT,764886.5,0.0,0.0,1437365.31,2202251.8,0
346,CASH_OUT,196456.66,0.0,0.0,1650501.27,1846957.93,0
395,CASH_OUT,296472.97,31596.0,0.0,152278.08,448751.06,0
359,CASH_OUT,310775.37,0.0,0.0,23687425.94,23998201.31,0
259,CASH_OUT,166633.34,0.0,0.0,244629.93,411263.27,0
710,CASH_OUT,343639.68,31939.0,0.0,244620.68,588260.36,0
212,CASH_OUT,159251.15,0.0,0.0,978696.22,1137947.36,0
211,CASH_OUT,56638.15,3251.0,0.0,3601730.04,3367084.49,0
45,CASH_OUT,74516.62,64834.0,0.0,9917.01,84433.63,0
213,CASH_OUT,59854.83,0.0,0.0,196980.58,256835.41,0
34,CASH_OUT,191523.64,0.0,0.0,3243147.51,3434671.15,0
204,CASH_OUT,133900.22,5558.0,0.0,14053261.59,14187161.82,0
94,CASH_OUT,88774.41,37341.0,0.0,1186613.94,1275388.35,0
381,CASH_OUT,156168.67,13187.62,0.0,388838.6,545007.27,0
164,CASH_OUT,175845.68,127664.0,0.0,231452.06,407297.74,0
354,TRANSFER,1355393.74,0.0,0.0,3370467.76,4725861.5,0
201,CASH_OUT,312162.13,0.0,0.0,2405574.2,2717736.33,0
305,CASH_OUT,195450.97,0.0,0.0,305956.09,501407.06,0
155,CASH_OUT,412630.86,52812.0,0.0,618544.53,1116433.52,0
12,CASH_OUT,555734.24,0.0,0.0,703550.36,1259284.6,0
278,CASH_OUT,87930.39,0.0,0.0,1603319.75,1691250.14,0
377,CASH_OUT,62896.52,0.0,0.0,99881.13,162777.66,0
228,CASH_OUT,489594.03,134.0,0.0,47755.11,537349.14,0
305,TRANSFER,10000000.0,10316.0,0.0,294396.48,18811558.19,0
234,CASH_OUT,356897.78,0.0,0.0,748534.82,1105432.6,0
93,CASH_OUT,97045.05,0.0,0.0,1296774.06,1393819.11,0
139,CASH_OUT,69540.07,0.0,0.0,72082.3,141622.37,0
236,CASH_OUT,244509.26,0.0,0.0,423983.62,668492.88,0
178,CASH_OUT,269517.28,124299.0,0.0,0.0,269517.28,0
378,CASH_OUT,307101.36,0.0,0.0,1388090.68,1695192.03,0
353,CASH_OUT,31569.8,303.0,0.0,1340003.14,1565733.18,0
397,TRANSFER,742738.17,8660.0,0.0,138203.12,880941.29,0
276,CASH_OUT,78586.92,0.0,0.0,1063315.02,1141901.94,0
237,TRANSFER,394103.15,0.0,0.0,710775.92,1104879.07,0
399,CASH_OUT,325259.52,0.0,0.0,1551343.18,1876602.69,0
298,CASH_OUT,182711.08,0.0,0.0,1711909.76,1894620.85,0
345,TRANSFER,525194.91,0.0,0.0,1181316.58,1706511.49,0
228,CASH_OUT,102485.07,16185.0,0.0,2605532.66,2708017.73,0
332,CASH_OUT,256882.68,11298.0,0.0,34375.99,291258.66,0
203,CASH_OUT,10169.01,0.0,0.0,4288101.64,4298270.65,0
252,CASH_OUT,53972.71,0.0,0.0,467414.08,521386.79,0
303,TRANSFER,631588.14,9268.0,0.0,0.0,631588.14,0
300,CASH_OUT,77454.63,0.0,0.0,3039616.62,3186304.92,0
301,CASH_OUT,214386.0,26330.0,0.0,1769881.75,1984267.75,0
17,CASH_OUT,103685.46,0.0,0.0,3369264.83,3472950.29,0
306,TRANSFER,369868.71,0.0,0.0,1122206.85,1492075.56,0
44,TRANSFER,254987.16,0.0,0.0,522950.95,777938.12,0
283,CASH_OUT,6792.05,20274.0,13481.95,0.0,6792.05,0
180,CASH_OUT,80799.23,12261.0,0.0,0.0,80799.23,0
348,CASH_OUT,155053.41,52301.0,0.0,369028.22,524081.63,0
19,CASH_OUT,494602.87,0.0,0.0,663180.73,1157783.6,0
177,CASH_OUT,195186.16,21303.0,0.0,143881.3,339067.46,0
548,CASH_OUT,13701.03,190.0,0.0,0.0,13701.03,0
17,TRANSFER,850907.02,143961.0,0.0,200835.88,664516.84,0
213,CASH_OUT,43760.48,0.0,0.0,615592.65,659353.12,0
258,CASH_OUT,352659.78,9315.0,0.0,2397661.95,2750321.73,0
373,CASH_OUT,2564.0,0.0,0.0,1308342.18,1310906.18,0
351,CASH_OUT,26097.33,49549.0,23451.67,0.0,26097.33,0
156,CASH_OUT,233697.72,36614.0,0.0,1701210.25,1934907.98,0
17,TRANSFER,406219.25,0.0,0.0,1899478.74,2305697.99,0
273,CASH_OUT,129665.91,0.0,0.0,202262.36,331928.27,0
44,CASH_OUT,104293.44,111774.0,7480.56,0.0,104293.44,0
300,CASH_OUT,256883.64,0.0,0.0,2268581.92,2525465.56,0
323,CASH_OUT,111762.63,44859.0,0.0,1350564.57,1462327.2,0
134,CASH_OUT,52742.84,16298.0,0.0,0.0,52742.84,0
179,TRANSFER,558387.11,14292.0,0.0,0.0,558387.11,0
518,CASH_OUT,77370.44,32831.0,0.0,24696.93,102067.36,0
179,CASH_OUT,537682.94,0.0,0.0,1132266.22,1669949.16,0
402,TRANSFER,379603.98,0.0,0.0,785079.06,1164683.04,0
379,CASH_OUT,137811.1,755158.49,617347.39,1132982.21,1116135.76,0
208,CASH_OUT,117948.9,0.0,0.0,140185.78,258134.69,0
17,CASH_OUT,256404.37,0.0,0.0,289193.22,545597.59,0
131,CASH_OUT,296015.27,0.0,0.0,2542633.89,2838649.17,0
159,CASH_OUT,142525.88,5143.0,0.0,0.0,142525.88,0
285,TRANSFER,741800.37,0.0,0.0,2184782.52,2926582.88,0
11,TRANSFER,1242692.76,41293.0,0.0,4674358.02,7878445.27,0
252,CASH_OUT,130233.76,0.0,0.0,3653826.45,3784060.22,0
330,CASH_OUT,45748.26,0.0,0.0,412135.21,457883.47,0
39,CASH_OUT,113386.48,0.0,0.0,362437.85,475824.33,0
230,CASH_OUT,63723.91,151.0,0.0,452939.57,516663.47,0
255,TRANSFER,616802.81,0.0,0.0,903463.99,1520266.79,0
140,CASH_OUT,122703.14,0.0,0.0,4444819.07,4752596.14,0
158,CASH_OUT,376357.41,23502.0,0.0,0.0,376357.41,0
185,CASH_OUT,278663.56,21541.0,0.0,0.0,278663.56,0
279,CASH_OUT,267846.16,86134.17,0.0,378972.67,646818.82,0
42,CASH_OUT,201229.74,99713.0,0.0,4394593.78,4595823.51,0
324,CASH_OUT,192632.59,0.0,0.0,233469.25,426101.84,0
227,CASH_OUT,122592.55,10124.0,0.0,30130.63,245623.19,0
211,CASH_OUT,56966.47,122787.0,65820.53,156154.95,213121.42,0
307,CASH_OUT,62642.89,2081.0,0.0,388735.83,549044.96,0
202,CASH_OUT,96681.73,0.0,0.0,4515462.92,4612144.64,0
538,CASH_OUT,112856.88,0.0,0.0,332308.47,445165.35,0
179,CASH_OUT,75748.43,0.0,0.0,489758.6,565507.03,0
42,TRANSFER,702559.07,5454.0,0.0,303110.79,1005669.86,0
374,CASH_OUT,63081.33,0.0,0.0,7660607.76,7723689.1,0
228,CASH_OUT,251844.64,0.0,0.0,1555715.77,1807560.41,0
307,TRANSFER,20549.96,0.0,0.0,540431.75,560981.71,0
259,CASH_OUT,119887.42,0.0,0.0,1315542.22,1435429.65,0
426,CASH_OUT,70356.57,100423.0,30066.43,0.0,70356.57,0
35,CASH_OUT,227889.67,20582.0,0.0,1688996.36,1916886.03,0
327,CASH_OUT,153984.89,0.0,0.0,66503017.04,66657001.93,0
186,CASH_OUT,192766.47,30192.0,0.0,0.0,192766.47,0
16,CASH_OUT,28498.02,158.0,0.0,770440.14,1072899.71,0
209,CASH_OUT,192398.28,33259.0,0.0,0.0,192398.28,0
329,CASH_OUT,219279.55,28793.69,0.0,1573248.01,1792527.56,0
370,TRANSFER,149507.39,0.0,0.0,1134548.88,1284056.27,0
211,TRANSFER,255625.71,0.0,0.0,597742.37,853368.08,0
398,CASH_OUT,195785.15,44132.0,0.0,0.0,195785.15,0
203,CASH_OUT,20104.33,0.0,0.0,36152.68,56257.02,0
19,CASH_OUT,34970.57,438447.94,403477.37,4016820.76,4051791.33,0
234,CASH_OUT,196109.95,0.0,0.0,2528108.8,2724218.75,0
325,CASH_OUT,340482.83,135.0,0.0,624173.84,964656.67,0
260,TRANSFER,241920.14,0.0,0.0,565629.39,807549.53,0
187,CASH_OUT,440918.1,3983.0,0.0,1412864.03,1853782.13,0
37,CASH_OUT,162325.06,10313.0,0.0,0.0,224151.59,0
35,CASH_OUT,629601.24,0.0,0.0,6865583.49,7187511.7,0
21,CASH_OUT,149778.03,0.0,0.0,1630090.16,1814840.38,0
213,CASH_OUT,238683.8,139374.0,0.0,10560343.4,10799027.19,0
40,CASH_OUT,168478.82,73514.0,0.0,235622.94,404101.76,0
328,CASH_OUT,75966.95,21666.0,0.0,172831.53,248798.49,0
394,CASH_OUT,436909.1,2063.0,0.0,0.0,436909.1,0
323,CASH_OUT,50304.14,127996.72,77692.58,585614.54,635918.68,0
230,TRANSFER,434661.81,63.0,0.0,0.0,434661.81,0
43,CASH_OUT,193793.22,0.0,0.0,394048.47,587841.7,0
42,CASH_OUT,138105.87,0.0,0.0,676668.24,814774.11,0
205,CASH_OUT,122065.02,15450.0,0.0,0.0,122065.02,0
14,CASH_OUT,15486.7,0.0,0.0,1509785.8,1740793.49,0
226,CASH_OUT,7898.92,198251.0,190352.08,893498.59,901397.51,0
307,CASH_OUT,244034.24,117.0,0.0,117777.87,361812.11,0
352,TRANSFER,280120.52,0.0,0.0,1215979.57,1496100.08,0
139,CASH_OUT,139516.6,17791.0,0.0,136035.85,429170.19,0
255,CASH_OUT,120754.52,4281.0,0.0,99026.04,219780.56,0
300,CASH_OUT,115536.57,550404.67,434868.09,1252984.59,1368521.17,0
661,CASH_OUT,178979.01,397.0,0.0,23181.27,202160.29,0
159,CASH_OUT,102400.11,1889.0,0.0,0.0,102400.11,0
567,TRANSFER,427161.37,12508.0,0.0,47746.25,474907.61,0
12,CASH_OUT,244599.89,0.0,0.0,687246.11,810724.33,0
518,CASH_OUT,1772.01,120.0,0.0,169173.8,170945.81,0
229,CASH_OUT,448004.5,82683.0,0.0,4693087.72,5141092.22,0
10,CASH_OUT,46142.99,0.0,0.0,911703.44,1007076.57,0
129,CASH_OUT,125746.19,0.0,0.0,742443.68,1261011.84,0
252,CASH_OUT,318690.99,5464.0,0.0,31618.17,350309.15,0
180,CASH_OUT,335275.81,99842.0,0.0,0.0,335275.81,0
7,CASH_OUT,126161.05,0.0,0.0,140372.0,2528788.63,0
369,TRANSFER,348595.28,0.0,0.0,510033.31,858628.59,0
12,CASH_OUT,230366.41,0.0,0.0,1785162.31,2015528.72,0
325,CASH_OUT,95786.16,0.0,0.0,285810.13,381596.29,0
43,CASH_OUT,46258.56,52103.05,5844.49,81940.3,128198.86,0
404,CASH_OUT,113852.76,0.0,0.0,6344340.99,6458193.75,0
163,CASH_OUT,201402.15,382953.07,181550.92,1463364.5,1664766.65,0
140,CASH_OUT,39011.57,821.0,0.0,57504.74,96516.31,0
229,TRANSFER,863057.69,0.0,0.0,887083.18,1750140.87,0
10,CASH_OUT,18516.23,0.0,0.0,27511.36,46027.58,0
155,TRANSFER,910043.16,32365.0,0.0,99417.35,1009460.5,0
139,CASH_OUT,10084.04,0.0,0.0,403469.34,265507.94,0
399,CASH_OUT,55794.86,100625.0,44830.14,526424.83,582219.69,0
185,CASH_OUT,44883.59,0.0,0.0,7384367.88,7429251.47,0
19,CASH_OUT,278630.59,137.0,0.0,90127.0,257688.66,0
300,CASH_OUT,316554.46,696.0,0.0,171914.23,488468.68,0
375,TRANSFER,624713.14,0.0,0.0,2382414.27,3007127.41,0
153,TRANSFER,74543.85,38766.0,0.0,120137.16,194681.01,0
550,TRANSFER,125597.15,0.0,0.0,161415.35,287012.5,0
301,CASH_OUT,67197.25,147292.97,80095.72,600028.12,667225.37,0
35,CASH_OUT,153643.17,26083.0,0.0,8428302.2,8581945.37,0
394,CASH_OUT,260272.95,20809.0,0.0,1101599.42,1361872.36,0
308,CASH_OUT,82019.44,0.0,0.0,295098.94,377118.38,0
182,CASH_OUT,468654.39,61802.0,0.0,846452.44,1315106.83,0
185,CASH_OUT,158374.53,50225.74,0.0,1238684.23,1397058.76,0
238,TRANSFER,42063.09,1287.0,0.0,2400704.82,2442767.92,0
15,CASH_OUT,458406.82,0.0,0.0,3031348.23,3489755.05,0
136,TRANSFER,650559.48,0.0,0.0,750930.06,1401489.54,0
37,CASH_OUT,248393.18,0.0,0.0,1967379.97,2215773.15,0
256,CASH_OUT,122355.26,0.0,0.0,879764.07,1002119.33,0
251,CASH_OUT,213825.08,0.0,0.0,5458936.99,5672762.08,0
374,CASH_OUT,114467.49,50752.0,0.0,829447.04,943914.53,0
164,CASH_OUT,381894.56,51862.0,0.0,380810.99,762705.55,0
687,CASH_OUT,143323.57,407939.0,264615.43,694738.17,838061.74,0
12,CASH_OUT,4096.19,0.0,0.0,2220261.94,2224358.14,0
353,TRANSFER,5072392.7,82040.0,0.0,1897058.81,6969451.51,0
372,CASH_OUT,313949.76,29766.0,0.0,0.0,313949.76,0
42,CASH_OUT,190474.07,594.0,0.0,0.0,190474.07,0
257,TRANSFER,163456.76,0.0,0.0,734804.58,898261.34,0
695,TRANSFER,479927.94,0.0,0.0,1044358.6,1524286.54,0
352,TRANSFER,304690.11,0.0,0.0,3614131.56,3918821.66,0
257,CASH_OUT,70515.41,0.0,0.0,5085820.9,5156336.31,0
404,CASH_OUT,615022.27,0.0,0.0,4297463.79,4912486.07,0
17,CASH_OUT,387717.84,43818.0,0.0,0.0,387717.84,0
187,CASH_OUT,154578.17,0.0,0.0,933135.38,1087713.56,0
514,CASH_OUT,47728.49,314898.57,267170.08,671507.99,719236.48,0
373,CASH_OUT,256741.96,22223.0,0.0,103687.39,360429.35,0
187,CASH_OUT,204248.62,141001.0,0.0,31368.0,0.0,0
185,TRANSFER,1536327.84,0.0,0.0,2351294.81,3887622.65,0
281,TRANSFER,342342.67,2487.48,0.0,882727.34,1225070.01,0
40,CASH_OUT,239311.83,161301.0,0.0,594561.98,1211467.79,0
281,CASH_OUT,166205.66,21309.0,0.0,4906202.08,5072407.74,0
16,CASH_OUT,55110.48,0.0,0.0,1203113.27,1542942.43,0
354,CASH_OUT,7575.17,12087.0,4511.83,0.0,7575.17,0
132,CASH_OUT,323576.22,483.0,0.0,1397958.75,2431661.6,0
38,CASH_OUT,216291.31,0.0,0.0,3219845.25,3436136.57,0
9,CASH_OUT,536805.32,0.0,0.0,669970.82,1206776.14,0
548,CASH_OUT,67005.49,20819.0,0.0,10618.68,77624.18,0
19,TRANSFER,1024984.04,39553.0,0.0,6352.83,1963294.02,0
42,CASH_OUT,235966.35,69718.0,0.0,267880.67,503847.02,0
332,TRANSFER,356105.94,19551.19,0.0,4372774.2,4728880.14,0
326,CASH_OUT,77028.07,0.0,0.0,2685690.88,2762718.96,0
546,CASH_OUT,227172.06,398401.86,171229.8,4114447.55,4341619.61,0
10,CASH_OUT,244541.93,6341.0,0.0,0.0,83702.75,0
137,CASH_OUT,356284.39,0.0,0.0,792908.49,1149192.88,0
281,TRANSFER,493951.89,102558.0,0.0,0.0,493951.89,0
36,CASH_OUT,228327.72,0.0,0.0,2420192.34,2648520.06,0
398,TRANSFER,146611.3,0.0,0.0,970118.22,1116729.52,0
36,CASH_OUT,698666.48,0.0,0.0,1981362.67,2680029.15,0
375,CASH_OUT,58718.23,11586.0,0.0,295123.55,353841.79,0
322,CASH_OUT,148.55,35277.0,35128.45,187580.08,187728.64,0
330,CASH_OUT,214925.29,0.0,0.0,366390.42,581315.71,0
206,CASH_OUT,286991.06,153398.0,0.0,2773414.63,3060405.7,0
352,TRANSFER,331899.8,0.0,0.0,2432620.94,2764520.74,0
544,CASH_OUT,40365.64,0.0,0.0,6785881.63,6826247.26,0
322,CASH_OUT,49535.4,211845.0,162309.6,0.0,49535.4,0
394,CASH_OUT,12797.0,0.0,0.0,527075.83,539872.82,0
375,CASH_OUT,79240.85,20365.0,0.0,0.0,79240.85,0
184,CASH_OUT,2905.98,0.0,0.0,126102.46,129008.44,0
131,CASH_OUT,350030.92,192878.0,0.0,246458.73,596489.65,0
398,CASH_OUT,152212.97,271084.0,118871.03,442418.54,594631.51,0
33,CASH_OUT,417631.18,6681.53,0.0,644488.63,1062119.81,0
182,CASH_OUT,217025.31,0.0,0.0,477527.74,1046079.12,0
180,CASH_OUT,151085.13,0.0,0.0,2809397.89,2960483.02,0
38,CASH_OUT,48958.37,0.0,0.0,827562.16,876520.52,0
212,TRANSFER,88364.21,0.0,0.0,1353822.43,1442186.64,0
253,TRANSFER,1211689.58,117241.0,0.0,4686696.41,5898386.0,0
163,CASH_OUT,297057.79,0.0,0.0,6647393.13,6944450.92,0
526,CASH_OUT,221268.09,0.0,0.0,7777538.25,7998806.34,0
227,CASH_OUT,308124.96,2978.0,0.0,193789.01,501913.97,0
41,CASH_OUT,388952.69,1185.0,0.0,0.0,388952.69,0
346,CASH_OUT,41183.1,13728.0,0.0,627156.71,668339.81,0
301,CASH_OUT,217174.39,0.0,0.0,370585.53,587759.93,0
402,CASH_OUT,118417.81,0.0,0.0,649681.07,768098.88,0
283,TRANSFER,474168.53,0.0,0.0,1489872.27,1964040.81,0
161,CASH_OUT,54081.55,0.0,0.0,419570.05,473651.6,0
43,TRANSFER,82420.9,0.0,0.0,850327.71,932748.61,0
44,TRANSFER,1048993.87,0.0,0.0,2409091.01,3917399.88,0
282,CASH_OUT,79048.91,0.0,0.0,234190.11,313239.01,0
349,CASH_OUT,134701.08,0.0,0.0,1896004.86,2030705.94,0
138,CASH_OUT,165910.05,50148.0,0.0,0.0,165910.05,0
357,CASH_OUT,163880.97,0.0,0.0,215784.83,379665.8,0
322,CASH_OUT,360853.1,116402.0,0.0,39755.26,400608.36,0
43,CASH_OUT,37748.92,0.0,0.0,967828.72,1005577.64,0
321,TRANSFER,13911701.66,0.0,0.0,17726309.6,31638011.26,0
36,CASH_OUT,86010.92,0.0,0.0,2834160.24,2920171.16,0
155,CASH_OUT,105898.76,8745.0,0.0,26401.66,132300.43,0
22,TRANSFER,98488.63,0.0,0.0,1403330.6,1501819.23,0
257,CASH_OUT,260111.53,0.0,0.0,568527.75,828639.28,0
164,CASH_OUT,9713.3,11732.0,2018.7,106700.12,116413.42,0
259,CASH_OUT,218426.02,11375.0,0.0,1145642.73,1364068.75,0
44,CASH_OUT,96556.17,11073.0,0.0,0.0,96556.17,0
371,CASH_OUT,212687.57,38076.05,0.0,1296789.21,1509476.79,0
40,CASH_OUT,62730.19,0.0,0.0,1768101.81,1830832.0,0
370,CASH_OUT,204292.54,0.0,0.0,6917514.55,7121807.08,0
250,CASH_OUT,246520.53,13769.0,0.0,239922.32,486442.85,0
303,CASH_OUT,276437.64,185.0,0.0,250432.06,526869.71,0
236,CASH_OUT,50788.8,0.0,0.0,1795012.71,1845801.5,0
252,CASH_OUT,62308.92,0.0,0.0,993091.49,1055400.41,0
44,CASH_OUT,463674.44,0.0,0.0,842265.11,1305939.55,0
17,CASH_OUT,104018.24,0.0,0.0,2395933.21,3984221.64,0
710,CASH_OUT,58000.15,3221.0,0.0,0.0,58000.15,0
38,CASH_OUT,98076.15,0.0,0.0,1317493.17,1415569.32,0
19,TRANSFER,1693299.1,0.0,0.0,3819407.44,5512706.54,0
278,CASH_OUT,36036.88,0.0,0.0,413904.46,449941.34,0
204,CASH_OUT,52146.73,0.0,0.0,1167207.33,1219354.05,0
253,CASH_OUT,190697.15,19876.0,0.0,314416.27,505113.42,0
256,CASH_OUT,434524.79,0.0,0.0,858170.45,1292695.24,0
230,CASH_OUT,233327.16,6170.0,0.0,1401435.03,1634762.19,0
178,TRANSFER,2537773.02,14852.0,0.0,56496.11,2594269.13,0
377,CASH_OUT,159784.36,0.0,0.0,814478.35,974262.71,0
382,TRANSFER,2591076.41,0.0,0.0,14966169.95,17557246.36,0
302,CASH_OUT,220415.3,385505.0,165089.7,47422.58,267837.88,0
331,TRANSFER,2731764.99,0.0,0.0,6663226.48,9394991.48,0
326,CASH_OUT,90465.57,32281.0,0.0,0.0,90465.57,0
370,CASH_OUT,122453.09,0.0,0.0,3222937.91,3345391.0,0
372,CASH_OUT,173202.44,0.0,0.0,530276.01,703478.45,0
328,CASH_OUT,262256.11,12213.0,0.0,391683.14,653939.24,0
133,CASH_OUT,158059.51,52089.0,0.0,0.0,158059.51,0
235,TRANSFER,1043184.48,0.0,0.0,2192259.6,3235444.08,0
228,CASH_OUT,191795.35,19640.0,0.0,183792.5,375587.85,0
20,CASH_OUT,104626.78,0.0,0.0,238970.36,368177.31,0
206,CASH_OUT,90640.37,0.0,0.0,437136.93,527777.3,0
16,CASH_OUT,128139.46,61093.0,0.0,269792.3,642177.67,0
183,CASH_OUT,257035.9,0.0,0.0,1509259.49,1766295.39,0
356,CASH_OUT,138321.93,0.0,0.0,573645.1,711967.04,0
186,CASH_OUT,1274.0,0.0,0.0,468382.73,469656.73,0
235,TRANSFER,783207.98,0.0,0.0,1747748.95,2530956.93,0
18,CASH_OUT,25547.19,0.0,0.0,257229.35,19994.97,0
308,CASH_OUT,37508.5,0.0,0.0,40718.34,78226.83,0
400,CASH_OUT,103000.19,179903.0,76902.81,0.0,103000.19,0
23,CASH_OUT,13535.62,11390.0,0.0,361452.09,374987.7,0
158,CASH_OUT,149173.19,0.0,0.0,381232.99,530406.18,0
250,CASH_OUT,163695.68,36202.59,0.0,1906770.64,2070466.32,0
255,TRANSFER,1024087.46,314.0,0.0,232288.77,1256376.23,0
353,TRANSFER,1116139.44,4027.0,0.0,429983.94,1546123.38,0
154,CASH_OUT,341152.86,62331.0,0.0,0.0,341152.86,0
405,CASH_OUT,176511.95,0.0,0.0,191494.74,368006.68,0
129,TRANSFER,1355961.48,99665.0,0.0,0.0,1355961.48,0
284,CASH_OUT,310998.33,0.0,0.0,952575.31,1263573.64,0
44,CASH_OUT,306055.83,0.0,0.0,1141054.27,1447110.1,0
378,CASH_OUT,72233.8,0.0,0.0,145535.35,217769.14,0
288,TRANSFER,68160.46,1123.0,0.0,2954530.46,3022690.92,0
280,CASH_OUT,345162.51,0.0,0.0,3651937.33,3997099.84,0
37,CASH_OUT,42102.12,0.0,0.0,1621815.58,1726520.37,0
37,TRANSFER,15022.16,0.0,0.0,189917.18,204939.34,0
225,CASH_OUT,300910.75,145400.0,0.0,0.0,300910.75,0
164,CASH_OUT,121220.5,62319.0,0.0,8995496.27,9116716.77,0
225,CASH_OUT,404158.59,0.0,0.0,2266504.39,2670662.98,0
139,CASH_OUT,111618.27,187644.0,76025.73,2152355.23,2263973.5,0
250,TRANSFER,2226070.66,303184.0,0.0,40756.83,2266827.49,0
374,CASH_OUT,212701.98,1127.0,0.0,778825.26,991527.24,0
377,CASH_OUT,41885.25,0.0,0.0,2594189.96,2636075.2,0
205,CASH_OUT,390224.3,158016.29,0.0,6273559.89,6663784.19,0
402,TRANSFER,1402768.85,0.0,0.0,7053685.18,8456454.02,0
156,CASH_OUT,225297.93,0.0,0.0,271898.09,720053.05,0
404,TRANSFER,631975.08,0.0,0.0,679912.07,1311887.15,0
179,TRANSFER,965410.38,20036.0,0.0,4584.33,969994.71,0
202,CASH_OUT,60538.94,51335.0,0.0,656887.14,717426.08,0
164,CASH_OUT,54034.29,30696.0,0.0,1313095.07,1367129.36,0
394,CASH_OUT,156318.41,107820.0,0.0,763170.37,919488.78,0
401,CASH_OUT,152748.02,0.0,0.0,330174.85,482922.87,0
306,CASH_OUT,305307.78,0.0,0.0,484241.42,789549.2,0
661,CASH_OUT,240760.68,21662.0,0.0,0.0,240760.68,0
139,CASH_OUT,375934.49,0.0,0.0,830533.57,1206468.06,0
10,CASH_OUT,86084.06,0.0,0.0,249870.55,48105.08,0
393,TRANSFER,216538.15,0.0,0.0,1154182.95,1370721.1,0
207,TRANSFER,420189.16,1267.0,0.0,0.0,420189.16,0
402,CASH_OUT,149867.39,12295.0,0.0,1498071.73,1647939.12,0
10,TRANSFER,481957.03,0.0,0.0,540395.16,1929064.93,0
184,CASH_OUT,263535.37,0.0,0.0,370666.6,634201.97,0
37,CASH_OUT,90847.14,0.0,0.0,506671.81,597518.95,0
231,CASH_OUT,383454.93,50846.0,0.0,263877.77,633486.05,0
212,CASH_OUT,181858.4,23951.0,0.0,2032723.02,2214581.42,0
329,CASH_OUT,42416.74,0.0,0.0,882257.92,924674.66,0
326,CASH_OUT,403284.94,0.0,0.0,1228536.91,1631821.85,0
255,CASH_OUT,89278.89,0.0,0.0,534207.83,623486.72,0
